index,uuid_len,uuid,perm,val_max_len,val_cur_len,value
0,16,0x2800,0x01,2,2,A002
1,16,0x2803,0x01,1,1,2
2,16,0xC300,0x11,1,1,1
3,16,0x2901,0x11,1,1,1
4,16,0x2803,0x01,1,1,2
5,16,0xC301,0x01,512,512,000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F
6,16,0x2901,0x11,512,512,000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F000102030405060708090A0B0C0D0F
7,16,0x2803,0x01,1,1,8
8,16,0xC302,0x10,1,1,30
9,16,0x2901,0x01,1,1,1
10,16,0x2803,0x01,1,1,4
11,16,0xC303,0x10,3,3,303132
12,16,0x2901,0x10,1,1,30
13,16,0x2803,0x01,1,1,8
14,16,0xC304,0x10,2,2,3031
15,16,0x2803,0x01,1,1,10
16,16,0xC305,0x01,5,5,3031323334
17,16,0x2902,0x11,2,2,3031
18,16,0x2803,0x01,1,1,20
19,16,0xC306,0x01,5,5,3031323334
20,16,0x2902,0x11,2,2,3031
,,,,,,

